2;1
4;3
6;5
8;7
10;9
12;11
14;13
16;15
18;17
20;19
22;21
24;23
26;25
28;27
30;29
32;31
34;33
3;35
37;36
5;38
7;39
41;40
41;42
1;43
3;44
34;45
47;46
11;48
50;49
13;51
15;52
54;53
54;55
9;56
11;57
47;58
60;59
19;61
63;62
21;64
23;65
67;66
67;68
17;69
19;70
60;71
73;72
29;74
31;75
77;76
27;78
29;79
81;80
73;82
41;83
7;84
5;85
3;86
1;87
89;88
41;90
15;91
13;92
11;93
9;94
96;95
41;97
23;98
21;99
19;100
17;101
103;102
41;104
31;105
29;106
27;107
25;108
110;109
112;111
114;113
116;115
118;117
120;119
122;121
124;123
126;125
128;127
130;129
132;131
134;133
136;135
138;137
140;139
142;141
34;143
35;143
3;144
33;144
37;145
38;145
5;146
36;146
7;147
40;147
41;148
39;148
47;149
48;149
11;150
46;150
50;151
51;151
13;152
49;152
15;153
53;153
54;154
52;154
60;155
61;155
19;156
59;156
63;157
64;157
21;158
62;158
23;159
66;159
67;160
65;160
73;161
74;161
29;162
72;162
31;163
76;163
77;164
75;164
82;165
29;165
166;54
41;54
167;67
54;67
168;77
67;77
170;169
171;169
169;172
173;172
170;174
175;174
170;120
176;120
170;122
177;122
170;178
179;178
169;180
181;180
169;128
182;128
169;130
183;130
169;184
185;184
172;186
187;186
172;136
188;136
172;138
189;138
172;190
191;190
193;192
194;192
41;195
196;195
174;197
198;197
200;199
201;199
180;202
203;202
178;204
205;204
186;206
207;206
184;208
