0	1
0	1
0	1
0	0
0	0
0	6
1	2
2	0
2	0
2	0
2	16
2	16
2	15
2	4
2	4
2	38
2	14
2	29
2	1
2	2
3	0
3	0
3	0
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	1
3	6
3	16
3	16
3	4
3	4
3	2
3	78
4	1
4	8
5	1
6	0
6	0
6	0
6	0
6	0
6	6
6	1
6	2
6	4
7	1
9	1
9	0
10	1
11	1
11	12
11	4
11	84
13	6
13	1
13	1
13	1
13	1
13	0
13	0
13	17
13	57
13	29
13	27
13	2
13	75
13	75
13	36
14	1
14	1
14	1
14	0
14	16
15	0
15	0
15	29
15	1
15	1
15	1
15	1
15	1
15	4
17	2
17	1
17	32
18	1
19	2
20	1
20	14
20	39
21	0
22	1
23	1
24	0
25	1
26	1
27	6
27	1
28	1
28	6
30	0
31	2
32	0
32	0
32	0
32	1
32	97
33	32
34	29
35	4
35	1
35	1
35	6
35	32
36	1
37	1
37	1
37	1
39	1
40	0
41	0
42	0
42	1
43	2
43	36
43	6
44	1
44	1
45	1
46	1
46	1
47	1
47	1
47	8
47	97
48	1
48	1
49	0
49	4
50	1
51	4
51	1
52	16
53	6
53	1
53	85
54	32
54	0
54	0
54	17
55	0
55	1
56	1
58	16
59	4
59	0
60	8
61	0
62	4
63	4
64	1
65	1
66	48
66	0
67	2
68	1
69	8
70	1
71	1
72	0
73	2
74	1
75	1
76	6
77	1
79	57
80	1
81	0
81	75
82	45
83	1
83	16
86	1
87	1
87	0
88	32
89	0
90	36
91	0
92	36
93	1
94	1
95	0
96	75
98	1
99	6
